"FullName","KB","LastWriteTime"
"D:\forge\BODYWEIGHT_GAP_MATRIX.md","12.9","18-06-2026 22:31:45"
"D:\forge\deficit_template_mapping_audit.md","25.5","16-06-2026 10:54:35"
"D:\forge\docs\adr_log.md","1.6","15-06-2026 12:23:52"
"D:\forge\docs\adr\ADR-001_primary_key_strategy.md","1.2","15-06-2026 12:10:49"
"D:\forge\docs\adr\ADR-002_normalized_lookups.md","1.1","15-06-2026 12:10:53"
"D:\forge\docs\adr\ADR-003_dynamic_templates.md","1","15-06-2026 12:10:56"
"D:\forge\docs\adr\ADR-004_caching_architecture.md","1.1","15-06-2026 12:11:00"
"D:\forge\docs\adr\ADR-005_sql_scoring_engine.md","1.2","15-06-2026 12:11:04"
"D:\forge\docs\adr\ADR-006_relational_diagnosis.md","2.1","15-06-2026 12:26:03"
"D:\forge\docs\adr\ADR-007_unitless_metrics.md","2.1","15-06-2026 12:26:06"
"D:\forge\docs\adr\ADR-008_confidence_scoring.md","1.5","15-06-2026 12:23:44"
"D:\forge\docs\adr\ADR-009_boundary_noise_filtering.md","1.5","15-06-2026 12:23:49"
"D:\forge\docs\architecture_audit.md","7.1","15-06-2026 12:11:22"
"D:\forge\docs\architecture_red_team_review.md","33.8","17-06-2026 20:32:06"
"D:\forge\docs\architecture.md","8.2","15-06-2026 12:01:22"
"D:\forge\docs\audit_05_domain_model_validation.md","24.6","17-06-2026 21:29:31"
"D:\forge\docs\audit_06_data_flow_explainability.md","29","17-06-2026 21:34:19"
"D:\forge\docs\audit_07_code_reality_source_of_truth.md","25.7","17-06-2026 21:38:10"
"D:\forge\docs\audit_08_execution_gap_analysis.md","32.5","17-06-2026 21:42:02"
"D:\forge\docs\deficit_detection_architecture.md","4.2","15-06-2026 12:22:04"
"D:\forge\docs\exercise_substitution_architecture.md","7.4","15-06-2026 22:05:15"
"D:\forge\docs\FORGE_BOOK_BACKLOG_TRIAGE_V1.md","54.6","21-06-2026 10:26:36"
"D:\forge\docs\FORGE_BOOK_HARDENING_ROADMAP_V1.md","29.5","21-06-2026 10:31:10"
"D:\forge\docs\FORGE_COACH_CONSOLE_V1_1_REAL_WORKFLOW_PASS_REPORT_V1.md","15.2","24-06-2026 15:20:43"
"D:\forge\docs\FORGE_COACH_CONSOLE_V1_HARDENING_REPORT.md","9","24-06-2026 10:32:17"
"D:\forge\docs\FORGE_COACH_FEEDBACK_EVIDENCE_MATRIX_V1.md","26.9","23-06-2026 22:14:18"
"D:\forge\docs\FORGE_COACH_REVIEW_ACTION_BACKLOG_V1.md","6.7","23-06-2026 21:25:52"
"D:\forge\docs\FORGE_COACH_TRIAL_SCRIPT_V1.md","4.7","23-06-2026 15:18:39"
"D:\forge\docs\FORGE_COMPETITION_AWARE_SESSION_VALIDATION_V1.md","5.8","20-06-2026 15:35:07"
"D:\forge\docs\FORGE_COMPETITION_WINDOW_RULEBOOK_V1.md","5.4","20-06-2026 15:34:39"
"D:\forge\docs\FORGE_CONDITIONING_BACKWARD_COMPAT_V1.md","3.2","20-06-2026 14:21:40"
"D:\forge\docs\FORGE_CONDITIONING_COMPETITION_ANALYSIS_V1.md","3.3","20-06-2026 14:21:06"
"D:\forge\docs\FORGE_CONDITIONING_MOVEMENT_ROUTING_V1.md","4.5","20-06-2026 14:21:24"
"D:\forge\docs\FORGE_CONDITIONING_PROTOCOL_METADATA_AUDIT_V1.md","4","20-06-2026 14:20:50"
"D:\forge\docs\FORGE_CONDITIONING_VALIDATION_V1.md","4","20-06-2026 14:21:58"
"D:\forge\docs\FORGE_EXERCISE_COMPETITION_METADATA_V1.md","3.4","20-06-2026 15:34:13"
"D:\forge\docs\FORGE_EXPOSURE_RULEBOOK_V1.md","7.6","20-06-2026 16:09:24"
"D:\forge\docs\FORGE_FREE_VS_PREMIUM_BOUNDARY_V1.md","35.8","21-06-2026 10:29:32"
"D:\forge\docs\FORGE_FRONTEND_API_CONTRACT_V1.md","9.1","23-06-2026 12:25:57"
"D:\forge\docs\FORGE_FRONTEND_BACKEND_INTEGRATION_VALIDATION_V1.md","5","23-06-2026 12:27:02"
"D:\forge\docs\FORGE_FRONTEND_PATCH_WIRING_NOTES_V1.md","3.5","23-06-2026 15:17:58"
"D:\forge\docs\FORGE_LOAD_MODEL_V1.md","4.8","20-06-2026 16:08:55"
"D:\forge\docs\FORGE_LOAD_SIGNAL_AUDIT.md","4.3","20-06-2026 16:08:28"
"D:\forge\docs\FORGE_NEXT_BLOCK_BIAS_RULEBOOK_V1.md","4","21-06-2026 18:57:45"
"D:\forge\docs\FORGE_PERIODIZATION_RULES_V1.md","7.6","20-06-2026 16:10:23"
"D:\forge\docs\FORGE_POST_REVIEW_ROADMAP_V1.md","11.4","23-06-2026 22:14:39"
"D:\forge\docs\FORGE_PROGRAM_ARTIFACT_SCHEMA_V1.md","4.4","23-06-2026 13:29:52"
"D:\forge\docs\FORGE_PROGRAM_ARTIFACT_STORAGE_V1.md","4.1","23-06-2026 12:26:14"
"D:\forge\docs\FORGE_RELEASE_READINESS_CHECKLIST_V1.md","4.5","23-06-2026 13:29:35"
"D:\forge\docs\FORGE_ROLE_EXPOSURE_RULES_V1.md","4.2","22-06-2026 09:30:44"
"D:\forge\docs\FORGE_ROLE_WEEK_PROFILE_RULEBOOK_V1.md","5.8","22-06-2026 09:30:44"
"D:\forge\docs\FORGE_SESSION_ASSEMBLY_RULEBOOK_V1.md","8.3","22-06-2026 15:51:12"
"D:\forge\docs\FORGE_SESSION_COMPETITION_AUDIT_V1.md","3.9","20-06-2026 15:33:55"
"D:\forge\docs\FORGE_TEST_BAND_PROGRESSIONS_V1.md","2.1","21-06-2026 18:55:37"
"D:\forge\docs\FORGE_UAT_RUNNER_GUIDE_V1.md","3.3","23-06-2026 15:18:16"
"D:\forge\docs\FORGE_UAT_SCENARIO_PACK_V1.md","9.3","23-06-2026 13:29:17"
"D:\forge\docs\FORGE_V2_IMPLEMENTATION_PLAN.md","11.1","20-06-2026 16:11:02"
"D:\forge\docs\FORGE_WAVE1_SPRINT_PLAN_V1.md","29.4","21-06-2026 10:40:28"
"D:\forge\docs\FORGE_WAVE10_6_COACH_TRIAL_READINESS_REPORT_V1.md","3.9","23-06-2026 15:17:39"
"D:\forge\docs\FORGE_WAVE10_IMPLEMENTATION_REPORT_V1.md","10.7","23-06-2026 13:30:24"
"D:\forge\docs\FORGE_WAVE10_STABILIZATION_AUDIT_V1.md","3.6","23-06-2026 13:28:49"
"D:\forge\docs\FORGE_WAVE11_COACH_FEEDBACK_SYNTHESIS_V1.md","16.7","23-06-2026 21:42:15"
"D:\forge\docs\FORGE_WAVE11_IMPLEMENTATION_BACKLOG_V1.md","20.8","23-06-2026 22:14:29"
"D:\forge\docs\FORGE_WAVE11_OVERALL_REVIEW_AUDIT_V1.md","12.5","23-06-2026 22:13:38"
"D:\forge\docs\FORGE_WAVE11A_CORRECTION_PASS_REPORT_V1.md","10.4","24-06-2026 09:52:36"
"D:\forge\docs\FORGE_WAVE11A_IMPLEMENTATION_REPORT_V1.md","2.3","23-06-2026 22:35:52"
"D:\forge\docs\FORGE_WAVE2_IMPLEMENTATION_REPORT_V1.md","12.2","21-06-2026 11:24:28"
"D:\forge\docs\FORGE_WAVE3_PROGRESSION_AUDIT_V1.md","4.5","21-06-2026 11:48:16"
"D:\forge\docs\FORGE_WAVE4_AUTO_ADJUSTMENT_RULES_V1.md","2.9","21-06-2026 12:47:15"
"D:\forge\docs\FORGE_WAVE4_IMPLEMENTATION_REPORT_V1.md","6","21-06-2026 12:47:50"
"D:\forge\docs\FORGE_WAVE4_PERIODIZATION_AUDIT_V1.md","3","21-06-2026 12:46:48"
"D:\forge\docs\FORGE_WAVE4_PROGRAM_VALIDATION_V1.md","2.6","21-06-2026 12:47:29"
"D:\forge\docs\FORGE_WAVE4_TESTING_RULEBOOK_V1.md","2.7","21-06-2026 12:47:01"
"D:\forge\docs\FORGE_WAVE5_ATHLETE_PROFILE_AUDIT_V1.md","2.4","21-06-2026 13:13:28"
"D:\forge\docs\FORGE_WAVE5_CONDITIONING_PERSONALIZATION_V1.md","2.6","21-06-2026 13:13:54"
"D:\forge\docs\FORGE_WAVE5_IMPLEMENTATION_REPORT_V1.md","8.2","21-06-2026 13:14:14"
"D:\forge\docs\FORGE_WAVE5_PERSONALIZATION_RULEBOOK_V1.md","5.4","21-06-2026 13:13:40"
"D:\forge\docs\FORGE_WAVE5_RISK_AWARE_EXERCISE_RULES_V1.md","3.6","21-06-2026 13:13:48"
"D:\forge\docs\FORGE_WAVE6_IMPLEMENTATION_REPORT_V1.md","6.1","21-06-2026 14:25:33"
"D:\forge\docs\FORGE_WAVE6_PRESCRIPTION_PERSONALIZATION_AUDIT_V1.md","1.6","21-06-2026 14:13:41"
"D:\forge\docs\FORGE_WAVE6_PRESCRIPTION_RULEBOOK_V1.md","3","21-06-2026 14:14:56"
"D:\forge\docs\FORGE_WAVE6_ROLE_BIAS_RULEBOOK_V1.md","5","21-06-2026 14:16:02"
"D:\forge\docs\FORGE_WAVE6_VALIDATION_V1.md","2.8","21-06-2026 14:20:32"
"D:\forge\docs\FORGE_WAVE6_WEEKLY_STRESS_BIAS_V1.md","2.4","21-06-2026 14:19:44"
"D:\forge\docs\FORGE_WAVE7_BLOCK_AUTOREGULATION_AUDIT_V1.md","1.4","21-06-2026 18:54:25"
"D:\forge\docs\FORGE_WAVE7_IMPLEMENTATION_REPORT_V1.md","5.6","21-06-2026 18:59:36"
"D:\forge\docs\FORGE_WAVE8_IMPLEMENTATION_REPORT_V1.md","9.4","22-06-2026 09:30:44"
"D:\forge\docs\FORGE_WAVE8_ROLE_WEEK_PLANNING_AUDIT_V1.md","4","22-06-2026 09:30:44"
"D:\forge\docs\FORGE_WAVE9_IMPLEMENTATION_REPORT_V1.md","11.3","23-06-2026 06:23:39"
"D:\forge\docs\FORGE_WAVE9_SESSION_ASSEMBLY_AUDIT_V1.md","11.1","22-06-2026 15:50:11"
"D:\forge\docs\FORGE_WAVE9_SESSION_ASSEMBLY_VALIDATION_V1.md","4","23-06-2026 06:22:37"
"D:\forge\docs\forgev2_final_design_review.md","53.2","17-06-2026 20:56:16"
"D:\forge\docs\import_pipeline_architecture.md","4.9","15-06-2026 12:07:07"
"D:\forge\docs\integration_audit_report.md","5.7","15-06-2026 14:39:41"
"D:\forge\docs\knowledge_graph_api.md","4.2","15-06-2026 12:18:33"
"D:\forge\docs\knowledge_graph_architecture.md","7.4","15-06-2026 12:17:17"
"D:\forge\docs\knowledge_graph_seeding_spec.md","4.6","15-06-2026 12:20:17"
"D:\forge\docs\recommendation_architecture.md","6.4","15-06-2026 12:05:45"
"D:\forge\docs\system_audit_report.md","10.5","15-06-2026 12:27:00"
"D:\forge\docs\templates_architecture.md","9.8","15-06-2026 12:04:28"
"D:\forge\exercise_gap_report.md","24.6","15-06-2026 19:05:58"
"D:\forge\exercise_system_audit.md","25.9","15-06-2026 18:59:05"
"D:\forge\FORGE_ADVERSARIAL_VALIDATION_V1.md","18.4","19-06-2026 14:19:00"
"D:\forge\FORGE_BLUEPRINT_CATALOG_V1.md","15.2","18-06-2026 21:26:48"
"D:\forge\FORGE_BLUEPRINT_DATABASE.md","23","18-06-2026 15:38:47"
"D:\forge\FORGE_BLUEPRINT_FIRST_ARCHITECTURE_REVIEW.md","17.4","18-06-2026 15:51:49"
"D:\forge\FORGE_BLUEPRINT_SELECTION_GUIDE_V1.md","24.1","18-06-2026 23:34:32"
"D:\forge\FORGE_BLUEPRINT_V2.md","23.8","18-06-2026 23:00:25"
"D:\forge\FORGE_COACH_CONSENSUS_SIMULATION_V1.md","15.6","19-06-2026 14:25:45"
"D:\forge\FORGE_COACH_PILOT_PROTOCOL_V1.md","15.4","19-06-2026 14:12:44"
"D:\forge\FORGE_COACHING_BIBLE_V1.md","63.8","18-06-2026 23:27:28"
"D:\forge\FORGE_COACHING_ONTOLOGY_V1.md","10.4","18-06-2026 10:35:53"
"D:\forge\FORGE_COACHING_ONTOLOGY_V2.md","20.5","18-06-2026 10:40:30"
"D:\forge\FORGE_COACHING_PATTERNS_SUMMARY.md","18.7","18-06-2026 15:40:40"
"D:\forge\FORGE_COACHING_REFERENCE_DATABASE.md","51","18-06-2026 21:38:21"
"D:\forge\FORGE_CONDITIONING_ENGINE_AUDIT_V2.md","10","20-06-2026 10:14:46"
"D:\forge\FORGE_CONDITIONING_INTELLIGENCE_V2.md","57.4","19-06-2026 00:04:24"
"D:\forge\FORGE_CONDITIONING_LIBRARY_REBALANCE_V2.md","6.4","20-06-2026 10:15:31"
"D:\forge\FORGE_CONDITIONING_LIBRARY_V1.md","98.3","18-06-2026 23:58:19"
"D:\forge\FORGE_CONDITIONING_SPORT_VALIDATION_V2.md","7","20-06-2026 10:33:15"
"D:\forge\FORGE_CONDITIONING_TAXONOMY_V2.md","4.7","20-06-2026 10:15:06"
"D:\forge\FORGE_CONSENSUS_ENGINE.md","10.6","19-06-2026 11:41:30"
"D:\forge\FORGE_CONSTRAINT_ENGINE_V1.md","22","19-06-2026 15:03:24"
"D:\forge\FORGE_CREDIBILITY_REVIEW_V2.md","19.6","18-06-2026 23:01:57"
"D:\forge\FORGE_CREDIBILITY_ROOT_CAUSE_ANALYSIS.md","21.5","18-06-2026 22:17:50"
"D:\forge\FORGE_EXERCISE_GAP_ANALYSIS.md","19.3","18-06-2026 22:59:06"
"D:\forge\FORGE_EXERCISE_LIBRARY_AUDIT_V2.md","45.2","19-06-2026 12:42:06"
"D:\forge\FORGE_EXERCISE_LIBRARY_V2.md","6.1","19-06-2026 12:57:20"
"D:\forge\FORGE_EXERCISE_ONTOLOGY_V1.md","27.4","18-06-2026 21:25:42"
"D:\forge\FORGE_GAPS_REPORT.md","22.8","19-06-2026 11:42:44"
"D:\forge\FORGE_GENERATION_STRESS_TEST.md","20.6","18-06-2026 22:01:28"
"D:\forge\FORGE_HARDENING_PHASE_V1.md","5.3","19-06-2026 14:06:38"
"D:\forge\FORGE_IMPLEMENTATION_SPEC_V1.md","76.6","19-06-2026 00:12:11"
"D:\forge\FORGE_LIBRARY_V2_CHANGELOG.md","2.7","19-06-2026 12:57:33"
"D:\forge\FORGE_LOCAL_RUN_GUIDE_V1.md","4.2","23-06-2026 12:26:33"
"D:\forge\FORGE_LOCAL_RUN_GUIDE_V2.md","2.8","23-06-2026 15:48:13"
"D:\forge\FORGE_MOBILITY_LIBRARY_V1.md","13.2","19-06-2026 14:56:16"
"D:\forge\FORGE_MOVEMENT_FREQUENCY_REPORT.md","26.3","18-06-2026 15:40:44"
"D:\forge\FORGE_PATTERN_DATABASE.md","32.2","19-06-2026 11:54:12"
"D:\forge\FORGE_PATTERN_EXTRACTION_TEMPLATE.md","9.1","19-06-2026 11:39:44"
"D:\forge\FORGE_PATTERN_LIBRARY.md","23.1","18-06-2026 15:36:50"
"D:\forge\FORGE_PROGRAM_EDIT_DISTANCE_AUDIT_V1.md","9.5","19-06-2026 13:18:38"
"D:\forge\FORGE_PROGRAM_GENERATION_RULEBOOK_V1.md","52.9","18-06-2026 23:43:17"
"D:\forge\FORGE_PROGRESSIONS_V2.md","34.3","18-06-2026 22:57:48"
"D:\forge\FORGE_READINESS_SYSTEM_V1.md","9.2","19-06-2026 14:58:19"
"D:\forge\FORGE_REALITY_VALIDATION_FRAMEWORK_V1.md","46.6","19-06-2026 12:12:19"
"D:\forge\FORGE_RECOVERY_AUDIT_V1.md","11","20-06-2026 09:50:38"
"D:\forge\FORGE_RECOVERY_HARDENING_V1.md","5.2","20-06-2026 10:03:24"
"D:\forge\FORGE_RECOVERY_LIBRARY_V1.md","8.8","19-06-2026 14:56:51"
"D:\forge\FORGE_SESSION_ARCHITECTURE_AUDIT_V1.md","18.8","19-06-2026 13:49:23"
"D:\forge\FORGE_SOURCE_CATALOG.md","9.5","19-06-2026 11:39:14"
"D:\forge\FORGE_SUBSTITUTION_MATRIX_V1.md","13.2","18-06-2026 21:27:52"
"D:\forge\FORGE_TESTING_LIBRARY_V1.md","11.2","19-06-2026 14:57:42"
"D:\forge\FORGE_V1_RELEASE_READINESS_AUDIT.md","20","19-06-2026 15:10:16"
"D:\forge\FORGE_V2.5_SYNTHESIS.md","43","17-06-2026 22:18:13"
"D:\forge\FORGE_V25_ARCHITECTURE_REVIEW_2.md","25.2","18-06-2026 14:56:03"
"D:\forge\FORGE_V25_IMPLEMENTATION_PLAN.md","34.4","18-06-2026 14:26:26"
"D:\forge\FORGE_WARMUP_AUDIT_V1.md","12.5","20-06-2026 09:50:02"
"D:\forge\FORGE_WARMUP_HARDENING_V1.md","9.1","20-06-2026 10:02:10"
"D:\forge\FORGE_WARMUP_LIBRARY_V1.md","19.7","19-06-2026 14:55:25"
"D:\forge\FORGE_WARMUP_RECOVERY_VALIDATION_V1.md","8","20-06-2026 10:06:29"
"D:\forge\forge_web\README.md","0.5","23-06-2026 06:26:14"
"D:\forge\FORGE_WORKFLOW_REVERSE_ENGINEERING.md","28.9","18-06-2026 21:49:23"
"D:\forge\graphify-out\GRAPH_REPORT.md","42.9","26-06-2026 23:42:43"
"D:\forge\IMPLEMENTATION_SUMMARY_V1_1.md","3","19-06-2026 23:33:41"
"D:\forge\migrations\000022_MIGRATION_ASSESSMENT.md","11","17-06-2026 14:41:57"
"D:\forge\olympic_lift_framework_audit.md","22.3","15-06-2026 20:57:19"
"D:\forge\PHASE_4E_REALITY_VERIFICATION_REPORT.md","12.9","16-06-2026 21:58:27"
"D:\forge\PHASE_5A_REPORT.md","3.7","16-06-2026 23:27:25"
"D:\forge\PROGRAM_OUTPUT_VALIDATION.md","50.6","18-06-2026 15:01:37"
"D:\forge\program_quality_audit.md","36.5","15-06-2026 21:02:54"
"D:\forge\RC1_IMPLEMENTATION.md","2.6","18-06-2026 22:24:22"
"D:\forge\RC2_REVIEW_AND_CREDIBILITY_ANALYSIS.md","10.2","18-06-2026 22:38:24"
"D:\forge\README.md","4","15-06-2026 12:01:15"
"D:\forge\REAL_WORLD_COACHING_COMPARISON_AUDIT.md","18.2","18-06-2026 22:44:06"
"D:\forge\recommendation_stress_test.md","7.9","15-06-2026 19:13:45"
"D:\forge\research_findings_summary.md","6","18-06-2026 15:35:30"
"D:\forge\sample\badminton_coach_review_summary.md","5.7","23-06-2026 21:25:52"
"D:\forge\sample\badminton\badminton_review_sheet.md","17.1","23-06-2026 19:49:30"
"D:\forge\sample\badminton\badminton_sample_pack.md","296.2","23-06-2026 16:40:24"
"D:\forge\sample\basketball_coach_review_summary.md","6.3","23-06-2026 21:25:52"
"D:\forge\sample\basketball\basketball_review_sheet.md","19.2","23-06-2026 19:52:08"
"D:\forge\sample\basketball\basketball_sample_pack.md","440.6","23-06-2026 16:40:28"
"D:\forge\sample\COACH_REVIEW_MASTER_SUMMARY.md","10.3","23-06-2026 21:25:52"
"D:\forge\sample\cricket_coach_review_summary.md","4.7","23-06-2026 21:25:52"
"D:\forge\sample\cricket\cricket_review_sheet.md","13.8","23-06-2026 19:46:38"
"D:\forge\sample\cricket\cricket_sample_pack.md","723.6","23-06-2026 16:40:22"
"D:\forge\sample\football_coach_review_summary.md","3.8","23-06-2026 21:25:52"
"D:\forge\sample\football\football_review_sheet.md","12.2","23-06-2026 20:30:42"
"D:\forge\sample\football\football_sample_pack.md","876.4","23-06-2026 16:40:28"
"D:\forge\sample\README.md","2.8","24-06-2026 10:19:09"
"D:\forge\sample\rugby_coach_review_summary.md","4.2","23-06-2026 21:25:52"
"D:\forge\sample\rugby\rugby_review_sheet.md","20.8","23-06-2026 20:33:47"
"D:\forge\sample\rugby\rugby_sample_pack.md","1201.7","23-06-2026 16:40:23"
"D:\forge\sample\soccer_coach_review_summary.md","4.5","23-06-2026 21:25:52"
"D:\forge\sample\soccer\soccer_review_sheet.md","11.5","23-06-2026 20:35:59"
"D:\forge\sample\soccer\soccer_sample_pack.md","877.4","23-06-2026 16:40:27"
"D:\forge\sample\tennis_coach_review_summary.md","5.9","23-06-2026 21:25:52"
"D:\forge\sample\tennis\tennis_review_sheet.md","9.6","23-06-2026 20:37:39"
"D:\forge\sample\tennis\tennis_sample_pack.md","296.2","23-06-2026 16:40:24"
"D:\forge\sample\volleyball_coach_review_summary.md","6.5","23-06-2026 21:25:52"
"D:\forge\sample\volleyball\volleyball_review_sheet.md","9.9","23-06-2026 20:38:55"
"D:\forge\sample\volleyball\volleyball_sample_pack.md","744.8","23-06-2026 16:40:25"
"D:\forge\SKILL.md","6.4","16-06-2026 10:07:07"
"D:\forge\sports_science_validation_report.md","29.4","15-06-2026 20:53:46"
"D:\forge\SURVIVABILITY_AUDIT.md","36.8","17-06-2026 14:31:22"
"D:\forge\template_coverage_repair_plan.md","9.5","16-06-2026 11:24:53"
"D:\forge\template_inventory_audit.md","5.9","16-06-2026 11:28:07"
"D:\forge\validation_40_examples.md","25.2","20-06-2026 10:05:56"
